Suhu,Kelembapan,Curah hujan,Kecepatan angin,Class
26.06,85.65,12.59,0.42,3
25.98,85.71,16.65,0.21,2
26.08,85.48,12.77,0.32,2
26.09,86.6,6.24,0.1,2
25.91,80.77,3.53,0.39,2
24.97,81.1,0.38,0.77,2
24.45,79.42,0,0.77,2
24.64,78.81,0,0.84,2
25.8,74.83,0,1.13,2
27.27,72.16,0,0.94,2
27.81,77.67,0.34,0.6,2
26.78,85.45,11.88,0.42,2
26.92,84.16,26.54,0.61,3
26.29,87.34,14.88,0.38,2
27.04,85.67,12.72,0.47,2
26.99,83.97,18.42,0.37,2
27.15,82.87,13.48,0.48,3
26.25,83.7,16.17,0.37,2
26.03,82.19,8.54,0.48,3
25.46,81.74,6.59,0.61,2
26.03,82.13,19.91,0.77,2
26.05,84.61,11.81,0.65,2
26.08,85.97,6.49,0.8,2
26.17,84,12.63,0.87,2
25.72,86,19.32,0.81,3
25.88,85.14,15.73,1.07,2
26.09,84.42,9.53,0.74,2
26.28,83.53,15.99,0.67,2
25.9,80.87,3.02,1.06,2
25.51,81.5,2.6,1,3
24.46,82.06,7.28,1.52,3
24.44,80.39,0.4,1.19,2
25.6,77.8,21.44,1.2,3
26.43,81.1,4.81,1.06,1
25.69,86.86,9.63,0.87,1
26.22,84.03,9,0.68,2
25.28,87.29,9.83,0.65,2
25.39,86,13.44,0.71,1
26,84.52,10.89,0.81,1
26.73,81.17,9.77,0.9,2
25.96,78.94,1.68,1.03,2
24.99,81.27,3.67,0.93,2
24.25,78.65,1.08,1.23,1
24.27,76.87,0,1.39,1
25.5,75.73,0.59,1.03,1
26.58,74.94,0.04,1.39,1
26.49,82.28,10.53,1,1
26.14,85.45,10.41,0.87,1
26.04,85.42,13.52,0.97,3
26.18,85.41,19.83,0.74,3
25.76,86.58,22.98,0.81,3
